UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_normalized,Process temperature [K]_normalized,Rotational speed [rpm]_normalized,Torque [Nm]_normalized,Tool wear [min]_normalized,temp_difference,power_estimate,thermal_stress,Type_H,Type_L,Type_M
11,H29424,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,-0.8023612214298871,-0.7451199721077052,1.3566395767611719,-1.6137041777558905,-1.3188614479308982,10.5,4.4601319509896316,1.0351876675603218,True,False,False
12,H29425,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,-0.7023741539029473,-0.6103249411536444,-0.6457689367823606,0.4326530919882786,-1.2403119697870466,10.5,6.601623206618494,1.0351640991292699,True,False,False
13,M14872,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,-0.7023741539029473,-0.6103249411536444,-1.1142990625139948,1.114772181903002,-1.1617624916431948,10.5,7.165451879777988,1.0351640991292699,False,False,True
14,M14873,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,-0.7023741539029473,-0.5429274256766523,1.1335299930794411,-1.0018032294500359,-1.1146328047568839,10.599999999999966,5.4728243795161795,1.0354989953114533,False,False,True
15,L47194,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,-0.7023741539029473,-0.5429274256766523,2.767807693548118,-2.0450441904960828,-1.067503117870573,10.599999999999966,4.176981882919677,1.0354989953114533,False,True,False
16,L47195,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,-0.7023741539029473,-0.5429274256766523,0.017982074670788047,0.8439307785545088,-1.0360833266130323,10.599999999999966,7.815771284951304,1.0354989953114533,False,True,False
17,M14876,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,-0.7023741539029473,-0.5429274256766523,-1.2704757710912062,0.6633698429888472,-1.0046635353554916,10.599999999999966,6.397800816839459,1.0354989953114533,False,False,True
18,M14877,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,-0.6523806201395058,-0.5429274256766523,-0.718279551478923,0.563058212119035,-0.9575338484691805,10.5,6.7332704995287465,1.0351523267492468,False,False,True
19,H29432,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,-0.602387086376036,-0.5429274256766523,-1.2983644690514227,1.4558317268603636,-0.9104041615828695,10.399999999999977,7.4538695151324745,1.034805890227577,True,False,False
20,M14879,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,-0.5523935526125945,-0.4755299101996219,0.5199786379546819,-0.7510241522755052,-0.8318546834390178,10.400000000000034,5.554508325479108,1.0347942455670793,False,False,True
21,H29434,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,-0.5523935526125945,-0.4755299101996219,-0.9135004372004373,0.27215448259657965,-0.7847249965527069,10.400000000000034,6.148549586344121,1.0347942455670793,True,False,False
22,L47201,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,-0.602387086376036,-0.4755299101996219,-0.49516996779719236,0.4828089074231847,-0.7061755184088552,10.5,6.80280657660488,1.035140562248996,False,True,False
23,M14882,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,-0.5523935526125945,-0.4755299101996219,0.2355139187604754,-0.9315850878411673,-0.6747557271513145,10.400000000000034,5.082909205152371,1.0347942455670793,False,False,True
24,L47203,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,-0.5024000188491246,-0.40813239472262974,1.2227738265521333,-1.4331432421902284,-0.6276260402650035,10.399999999999977,4.731448319195727,1.0347826086956522,False,True,False
25,M14884,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,-0.5024000188491246,-0.40813239472262974,0.12395912691961009,-0.2695283241004069,-0.5962062490074629,10.399999999999977,6.097528537019583,1.0347826086956522,False,False,True
26,L47205,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,-0.5024000188491246,-0.3407348792455993,1.7972810045325898,-1.6738911562777776,-0.5490765621211519,10.5,4.54092575138758,1.0351170568561874,False,True,False
27,L47206,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,-0.45240648508565473,-0.3407348792455993,-0.1493501130905099,-0.09899855162172583,-0.5176567708636112,10.399999999999977,6.175306314797361,1.0347709796054831,False,True,False
28,H29441,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,-0.45240648508565473,-0.40813239472262974,1.5183940249304264,-1.5434860361470215,-0.4862369796060705,10.299999999999955,4.665472824379517,1.0344366432631225,True,False,False
29,L47208,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,-0.45240648508565473,-0.40813239472262974,-0.5565251033096683,0.42262192890129796,-0.4076875014622188,10.299999999999955,6.660781233637031,1.0344366432631225,False,True,False
30,L47209,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,-0.5024000188491246,-0.40813239472262974,0.8602207530693211,-0.9917720663630544,-0.37626771020467814,10.399999999999977,5.336611163472615,1.0347826086956522,False,True,False
31,M14890,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,-0.45240648508565473,-0.3407348792455993,-1.1142990625139948,0.8238684523805468,-0.3448479189471375,10.399999999999977,6.758801968792544,1.0347709796054831,False,False,True
32,L47211,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,-0.5024000188491246,-0.40813239472262974,1.445883410233864,-1.4532055683641907,-0.2977182320608265,10.399999999999977,4.801445177505498,1.0347826086956522,False,True,False
33,L47212,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,-0.5024000188491246,-0.40813239472262974,-0.6680798951505336,0.8338996154675274,-0.26629844080328585,10.399999999999977,7.177474081055608,1.0347826086956522,False,True,False
34,L47213,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,-0.5523935526125945,-0.4755299101996219,0.7040440444921097,-0.7510241522755052,-0.23487864954574517,10.400000000000034,5.666823751178134,1.0347942455670793,False,True,False
35,M14894,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,0.11280364773552357,-0.5303385643619181,-0.20345885828820448,10.300000000000011,5.6652319614619335,1.034471218206158,False,False,True
36,M14895,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,-0.602387086376036,-0.5429274256766523,-0.48401448861310586,0.8639931047284716,-0.15632917140189348,10.399999999999977,7.390009425070688,1.034805890227577,False,False,True
37,M14896,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,-0.5523935526125945,-0.5429274256766523,0.2355139187604754,-0.32971530262229365,-0.10919948451558249,10.300000000000011,6.076311655670751,1.0344596855135497,False,False,True
38,L47217,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,-0.5565251033096683,-0.0789362254477631,-0.062069797629271485,10.300000000000011,5.907299193632841,1.034471218206158,False,True,False
39,H29452,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,-0.5523935526125945,-0.5429274256766523,-0.8911894788322642,1.0746475295550773,-0.030650006371730817,10.300000000000011,7.321740496387057,1.0344596855135497,True,False,False
40,L47219,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,-1.0529439270015188,1.2552084651207391,0.04789947177212085,10.300000000000011,7.422243166823751,1.034471218206158,False,True,False
41,L47220,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,-0.9860110518969998,0.5429958859450722,0.07931926302966152,10.300000000000011,6.475526233113414,1.034471218206158,False,True,False
42,L47221,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,-0.9525446143447401,1.084678692642058,0.11073905428720218,10.300000000000011,7.277662582469368,1.034471218206158,False,True,False
43,M14902,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,-0.9525446143447401,0.9141489201633777,0.14215884554474287,10.300000000000011,7.0341187558906695,1.034471218206158,False,False,True
44,H29457,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,-0.602387086376036,-0.5429274256766523,-0.930233655976567,0.8539619416414902,0.18928853243105387,10.399999999999977,6.968478374698921,1.034805890227577,True,False,False
45,M14904,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,-0.37245969677224056,0.753650310771678,0.2678380105749055,10.300000000000011,7.322232694522986,1.034471218206158,False,False,True
46,L47225,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,-0.277638123707505,0.9141489201633777,0.31496769746121656,10.300000000000011,7.65628861660907,1.034471218206158,False,True,False
47,M14906,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,-0.6523806201395058,-0.6777224566306749,1.696881691875811,-1.423112079103247,0.3463874887187572,10.300000000000011,4.979516179704682,1.0344827586206897,False,False,True
48,L47227,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,-0.6736576347425769,0.633276353727903,0.3935171756050682,10.300000000000011,6.875421510105769,1.034471218206158,False,True,False
49,H29462,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,-0.602387086376036,-0.5429274256766523,-0.634613457598274,1.395644748338476,0.42493696686260884,10.399999999999977,8.043512409676406,1.034805890227577,True,False,False
50,M14909,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,-0.5523935526125945,-0.5429274256766523,-0.7071240722948364,0.4125907658143166,0.5034864450064606,10.300000000000011,6.521017907634308,1.0344596855135497,False,False,True
51,L47230,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,-0.5523935526125945,-0.6103249411536444,7.3750205965758555,-3.5497186535432657,0.5506161318927716,10.200000000000045,1.3782176144098857,1.0341251254600203,False,True,False
52,L47231,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,-0.5523935526125945,-0.6103249411536444,-0.8688785204640912,1.4959563792082882,0.5820359231503122,10.200000000000045,7.951272384542884,1.0341251254600203,False,True,False
53,H29466,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,-0.602387086376036,-0.6777224566306749,-0.2330162069711589,0.3824972765533725,0.6134557144078528,10.199999999999989,6.866540999057492,1.034136546184739,True,False,False
54,L47233,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,-0.6523806201395058,-0.6777224566306749,0.14627008528778315,-0.49021391201399334,0.6920051925517046,10.300000000000011,5.752591894439209,1.0344827586206897,False,True,False
55,L47234,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,-0.6523806201395058,-0.6777224566306749,0.8490652738852346,-0.9917720663630544,0.7234249838092452,10.300000000000011,5.3303068384124,1.0344827586206897,False,True,False
56,L47235,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,-0.1493501130905099,0.07153122085695522,0.7548447750667859,10.300000000000011,6.444486333647503,1.034471218206158,False,True,False
57,L47236,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,-0.3445709988120242,0.24206099333563555,0.7862645663243265,10.300000000000011,6.55825740915279,1.034471218206158,False,True,False
58,L47237,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,-0.14377237349846664,0.03140656850902976,0.8176843575818672,10.300000000000011,6.3853701958320235,1.034471218206158,False,True,False
59,M14918,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,-0.602387086376036,-0.6777224566306749,0.6817330861239367,-1.0519590448849419,0.8491041488394079,10.199999999999989,5.131375013090376,1.034136546184739,False,False,True
60,L47239,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,-0.8967672184243075,1.4458005637733822,0.8962338357257189,10.300000000000011,7.850371766677139,1.034471218206158,False,True,False
61,L47240,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,-0.602387086376036,-0.6103249411536444,-0.8131011245436585,1.2652396282077205,0.9276536269832596,10.300000000000011,7.67324327154676,1.034471218206158,False,True,False
62,M14921,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,-0.602387086376036,-0.6777224566306749,0.2968690542729513,-0.1792478563175753,0.9590734182408002,10.199999999999989,6.368666876112682,1.034136546184739,False,False,True
63,L47242,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,-0.602387086376036,-0.6777224566306749,1.6187933375872052,-1.7140158086257027,1.0062031051271112,10.199999999999989,4.386228924494711,1.034136546184739,False,True,False
64,M14923,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,-0.5523935526125945,-0.6777224566306749,1.5239717645224697,-1.413080916016266,1.0376228963846519,10.100000000000023,4.91473452717562,1.0337905654064905,False,False,True
65,L47244,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,-0.5024000188491246,-0.6103249411536444,-0.087994977578034,-0.13912320396965058,1.0847525832709628,10.100000000000023,6.156435228819772,1.0337792642140469,False,True,False
66,L47245,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,-0.5024000188491246,-0.6103249411536444,-0.8075233849516152,0.5129023966841288,1.1161723745285035,10.100000000000023,6.583872656822704,1.0337792642140469,False,True,False
67,M14926,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,-0.5523935526125945,-0.7451199721077052,0.7821323987807154,-1.1322083495807918,1.1475921657860442,10.0,5.046318986281285,1.033456005352961,False,False,True
68,H29481,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,-0.602387086376036,-0.7451199721077052,-0.40592613432450014,0.4125907658143166,1.1947218526723553,10.099999999999966,6.770405278039585,1.03380187416332,True,False,False
69,L47248,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,-0.602387086376036,-0.7451199721077052,-0.06568401920986093,-0.7610553153624866,1.273271330816207,10.099999999999966,5.1811498586239395,1.03380187416332,False,True,False
70,L47249,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,-0.5523935526125945,-0.6777224566306749,-0.718279551478923,2.5793219926022606,1.3046911220737476,10.100000000000023,9.701225259189444,1.0337905654064905,False,True,False
71,M14930,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,-0.5523935526125945,-0.6777224566306749,2.1486785988313155,-1.744109297886646,1.3361109133312883,10.100000000000023,4.553607707613363,1.0337905654064905,False,False,True
72,L47251,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,-0.5523935526125945,-0.6103249411536444,-0.48401448861310586,0.5530270490320536,1.3832406002175992,10.200000000000045,6.918630223060006,1.0341251254600203,False,True,False
73,L47252,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,-0.5523935526125945,-0.6103249411536444,-0.9469668747526969,0.44268425507526,1.4146603914751399,10.200000000000045,6.365441407477222,1.0341251254600203,False,True,False
74,L47253,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,-0.5024000188491246,-0.6103249411536444,0.2968690542729513,-0.5002450751009747,1.4460801827326806,10.100000000000023,5.835165985967117,1.0337792642140469,False,True,False
75,L47254,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,-0.5523935526125945,-0.6777224566306749,0.3470687106013407,-0.771086478449468,1.4774999739902213,10.100000000000023,5.415467588229133,1.0337905654064905,False,True,False
76,L47255,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,-0.602387086376036,-0.7451199721077052,-0.8911894788322642,0.6734010060758285,1.508919765247762,10.099999999999966,6.744088386218452,1.03380187416332,False,True,False
77,L47256,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,-0.602387086376036,-0.7451199721077052,-0.43381483228471646,0.7937749631196027,1.5403395565053026,10.099999999999966,7.328715048696198,1.03380187416332,False,True,False
78,L47257,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,-0.602387086376036,-0.7451199721077052,-0.46728126983697604,0.13171819937884197,1.5717593477628433,10.099999999999966,6.29296261388627,1.03380187416332,False,True,False
79,L47258,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,-0.602387086376036,-0.7451199721077052,-0.7852124265834421,1.154896834250927,-1.6958989430213862,10.099999999999966,7.539742381401194,1.03380187416332,False,True,False
80,L47259,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,-0.602387086376036,-0.7451199721077052,-0.7629014682152692,-0.2093413455785194,-1.6644791517638455,10.099999999999966,5.564540789611478,1.03380187416332,False,True,False
81,H29494,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,-0.602387086376036,-0.8125174875846973,-0.5230586657574087,0.9943982248592271,-1.6330593605063048,10.0,7.5511048277306525,1.033467202141901,True,False,False
82,L47261,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,-0.5523935526125945,-0.7451199721077052,-0.49516996779719236,0.753650310771678,-1.5545098823624532,10.0,7.212797151534192,1.033456005352961,False,True,False
83,L47262,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,-0.5523935526125945,-0.7451199721077052,-0.4784367490210626,0.08156238394393586,-1.5230900911049126,10.0,6.208231228400879,1.033456005352961,False,True,False
84,L47263,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,-0.5024000188491246,-0.6777224566306749,-0.3891929155483703,0.011344242335067745,-1.4916702998473719,10.0,6.168907739030265,1.0334448160535117,False,True,False
85,L47264,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,-0.5523935526125945,-0.7451199721077052,-0.6513466763744038,0.7636814738586594,-1.4602505085898312,10.0,7.088407163053723,1.033456005352961,False,True,False
86,M14945,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,-0.5024000188491246,-0.6777224566306749,1.4793498477861236,-1.3228004482334348,-1.4288307173322905,10.0,5.063064195203687,1.0334448160535117,False,False,True
87,H29500,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,-0.5024000188491246,-0.6777224566306749,-0.5732583220857981,0.3925284396403539,-1.3817010304459796,10.0,6.601780291129962,1.0334448160535117,True,False,False
88,L47267,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,-0.5024000188491246,-0.6777224566306749,0.029137553854874577,-0.8212422938843738,-1.3031515523021278,10.0,5.141815896952561,1.0334448160535117,False,True,False
89,M14948,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,-0.5024000188491246,-0.6777224566306749,-0.6680798951505336,0.5229335597711102,-1.2717317610445873,10.0,6.716808042726988,1.0334448160535117,False,False,True
90,M14949,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,-0.5523935526125945,-0.7451199721077052,-0.28879360289159156,-0.048842736186819724,-1.2246020741582762,10.0,6.151062938527595,1.033456005352961,False,False,True
91,L47270,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,-0.5523935526125945,-0.7451199721077052,1.194885128591917,-1.423112079103247,-1.1774723872719652,10.0,4.736349355953503,1.033456005352961,False,True,False
92,L47271,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,-0.5523935526125945,-0.7451199721077052,1.6243710771792486,-1.5133925468860783,-1.1460525960144246,10.0,4.77191328934967,1.033456005352961,False,True,False
93,M14952,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,-0.5523935526125945,-0.7451199721077052,1.049863899198792,-1.292706958972491,-1.1146328047568839,10.0,4.90121478688868,1.033456005352961,False,False,True
94,L47273,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,-0.45240648508565473,-0.6777224566306749,-0.49516996779719236,0.302247971857523,-1.067503117870573,9.899999999999977,6.529479526652006,1.033099297893681,False,True,False
95,L47274,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,-0.5024000188491246,-0.7451199721077052,0.4642012420342493,-0.8112111307973927,-1.0360833266130323,9.899999999999977,5.418556916954654,1.0331103678929765,False,True,False
96,M14955,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,-0.5024000188491246,-0.6777224566306749,-1.0473661874094757,1.2251149758597957,-1.0046635353554916,10.0,7.385296889726673,1.0334448160535117,False,False,True
97,M14956,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,-0.5024000188491246,-0.6777224566306749,0.2020474812082158,-0.4701515858400313,-0.9575338484691805,10.0,5.822337417530631,1.0334448160535117,False,False,True
98,M14957,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,-0.5523935526125945,-0.7451199721077052,1.1781519098157873,-1.0118343925370172,-0.9104041615828695,10.0,5.47963137501309,1.033456005352961,False,False,True
99,L47278,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,-0.5523935526125945,-0.8125174875846973,-0.054528540025774404,-0.7309618261015425,-0.8632744746965585,9.900000000000034,5.235972353125982,1.0331214452994313,False,True,False
100,L47279,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,-0.602387086376036,-0.8125174875846973,-0.087994977578034,0.44268425507526,-0.8318546834390178,10.0,7.081495444549168,1.033467202141901,False,True,False
101,L47280,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,-0.602387086376036,-0.7451199721077052,1.7470813482042002,-1.503361383799097,-0.8004348921814772,10.099999999999966,4.848675253953293,1.03380187416332,False,True,False
102,L47281,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,-0.602387086376036,-0.8125174875846973,2.522387151498214,-1.9347013965392894,-0.7690151009239365,10.0,4.316022620169651,1.033467202141901,False,True,False
103,L47282,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,-0.602387086376036,-0.8125174875846973,0.0904926893673505,0.06150005776997385,-0.7375953096663959,10.0,6.611477641637868,1.033467202141901,False,True,False
104,M14963,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,-0.602387086376036,-0.8125174875846973,-0.5453696241255818,0.05146889468299249,-0.7061755184088552,10.0,6.1116870876531575,1.033467202141901,False,False,True
105,L47284,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,-0.602387086376036,-0.8799150030617278,-0.49516996779719236,0.3423726242054478,-0.6590458315225441,9.899999999999977,6.590218871085978,1.033132530120482,False,True,False
106,L47285,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,-0.602387086376036,-0.8799150030617278,0.2912913146809081,-0.8914604354932422,-0.6276260402650035,9.899999999999977,5.181704890564458,1.033132530120482,False,True,False
107,L47286,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,-0.602387086376036,-0.8799150030617278,-0.5230586657574087,0.8539619416414902,-0.5962062490074629,9.899999999999977,7.339250183265263,1.033132530120482,False,True,False
108,M14967,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,-0.602387086376036,-0.8125174875846973,-0.2330162069711589,0.6834321691628091,-0.5647864577499222,10.0,7.336852026390197,1.033467202141901,False,False,True
109,H29522,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,-0.5523935526125945,-0.8125174875846973,0.458623502442206,-0.7309618261015425,-0.5176567708636112,9.900000000000034,5.551021049324537,1.0331214452994313,True,False,False
110,L47289,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,-0.5523935526125945,-0.8799150030617278,0.185314262432086,-0.5905255428838055,-0.4391072927197595,9.800000000000011,5.613697769399938,1.0327868852459017,False,True,False
111,L47290,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,-0.602387086376036,-0.9473125185387199,1.8586361400450657,-1.7541404609736273,-0.4076875014622188,9.800000000000011,4.410933081998115,1.0327978580990629,False,True,False
112,H29525,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,-0.6523806201395058,-0.9473125185387199,-0.22186072778707236,0.3524037872924291,-0.37626771020467814,9.900000000000034,6.828620797989318,1.0331436223635757,True,False,False
113,M14972,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,-0.602387086376036,-0.8799150030617278,-0.22743846737911563,-0.048842736186819724,-0.2977182320608265,9.899999999999977,6.196565085349251,1.033132530120482,False,False,True
114,M14973,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,-0.602387086376036,-0.9473125185387199,-0.29437134248363483,0.19190517790072945,-0.2505885451745155,9.800000000000011,6.520410514189968,1.0327978580990629,False,False,True
115,L47294,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,-0.602387086376036,-0.9473125185387199,0.7877101383727587,-1.0619902079719232,-0.20345885828820448,9.800000000000011,5.172478793590952,1.0327978580990629,False,True,False
116,L47295,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,-0.602387086376036,-0.9473125185387199,-0.6011470200460144,0.5730893752060163,-0.17203906703066382,9.800000000000011,6.848539114043356,1.0327978580990629,False,True,False
117,L47296,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,-0.5523935526125945,-0.8799150030617278,0.14069234569573988,-0.5905255428838055,-0.14061927577312316,9.800000000000011,5.585129332914441,1.0327868852459017,False,True,False
118,L47297,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,-0.602387086376036,-0.9473125185387199,0.33591323141725415,-0.7008683368405991,-0.10919948451558249,9.800000000000011,5.525918944392083,1.0327978580990629,False,True,False
119,M14978,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,-0.602387086376036,-0.9473125185387199,0.9383091073579268,-1.192395328102679,-0.07777969325804182,9.800000000000011,5.023217090794848,1.0327978580990629,False,False,True
120,L47299,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,-0.6523806201395058,-1.0147100340157502,-0.40034839473245687,0.07153122085695522,-0.030650006371730817,9.800000000000011,6.252686145146089,1.032808838299297,False,True,False
121,L47300,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,-0.5523935526125945,-0.8799150030617278,-0.5899915408619278,0.47277774433620406,0.00076978488580985,9.800000000000011,6.70804272698712,1.0327868852459017,False,True,False
