UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,time_step,window_id
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,2,6
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,3,6
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,4,6
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,5,6
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,6,6
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,7,6
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,8,6
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,9,6
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,0,7
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,1,7
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,2,7
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,3,7
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,4,7
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,5,7
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,6,7
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,7,7
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,8,7
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,9,7
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,0,8
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,1,8
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,2,8
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,3,8
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,4,8
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,5,8
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,6,8
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,7,8
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,8,8
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,9,8
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,0,9
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,1,9
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,2,9
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,3,9
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,4,9
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,5,9
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,6,9
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,7,9
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,8,9
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,9,9
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,0,10
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,1,10
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,2,10
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,3,10
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,4,10
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,5,10
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,6,10
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,7,10
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,8,10
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,9,10
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,0,11
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,1,11
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,2,11
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,3,11
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,4,11
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,5,11
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,6,11
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,7,11
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,8,11
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,9,11
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,0,12
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,1,12
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,2,12
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,3,12
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,4,12
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,5,12
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,6,12
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,7,12
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,8,12
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,9,12
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,0,13
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,1,13
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,2,13
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,3,13
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,4,13
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,5,13
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,6,13
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,7,13
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,8,13
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,9,13
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,0,14
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,1,14
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,2,14
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,3,14
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,4,14
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,5,14
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,6,14
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,7,14
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,8,14
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,9,14
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,0,15
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,1,15
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,2,15
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,3,15
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,4,15
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,5,15
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,6,15
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,7,15
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,8,15
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,9,15
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,0,16
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,1,16
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,2,16
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,3,16
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,4,16
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,5,16
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,6,16
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,7,16
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,8,16
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,9,16
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,0,17
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,1,17
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,2,17
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,3,17
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,4,17
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,5,17
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,6,17
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,7,17
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,8,17
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9,17
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,0,18
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,1,18
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,2,18
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,3,18
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,4,18
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,5,18
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,6,18
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,7,18
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,8,18
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,9,18
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,0,19
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,1,19
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,2,19
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,3,19
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,4,19
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,5,19
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,6,19
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,7,19
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,8,19
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9,19
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,0,20
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,1,20
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,2,20
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,3,20
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,4,20
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,5,20
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,6,20
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,7,20
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,8,20
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9,20
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,0,21
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,1,21
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,2,21
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,3,21
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,4,21
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,5,21
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,6,21
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,7,21
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,8,21
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9,21
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,0,22
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,1,22
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,2,22
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,3,22
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,4,22
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,5,22
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,6,22
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,7,22
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,8,22
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9,22
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,0,23
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,1,23
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,2,23
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,3,23
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,4,23
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,5,23
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,6,23
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,7,23
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,8,23
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9,23
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,0,24
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,1,24
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,2,24
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,3,24
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,4,24
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,5,24
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,6,24
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,7,24
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,8,24
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9,24
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,0,25
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,1,25
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,2,25
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,3,25
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,4,25
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,5,25
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,6,25
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,7,25
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,8,25
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9,25
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,0,26
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,1,26
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,2,26
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,3,26
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,4,26
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,5,26
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,6,26
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,7,26
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,8,26
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9,26
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,0,27
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,1,27
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,2,27
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,3,27
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,4,27
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,5,27
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,6,27
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,7,27
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,8,27
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9,27
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,0,28
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,1,28
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,2,28
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,3,28
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,4,28
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,5,28
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,6,28
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,7,28
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,8,28
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9,28
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,0,29
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,1,29
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,2,29
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,3,29
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,4,29
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,5,29
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,6,29
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,7,29
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,8,29
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9,29
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,0,30
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,1,30
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,2,30
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,3,30
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,4,30
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,5,30
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,6,30
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,7,30
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,8,30
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9,30
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,0,31
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,1,31
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,2,31
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,3,31
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,4,31
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,5,31
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,6,31
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,7,31
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,8,31
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9,31
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,0,32
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,1,32
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,2,32
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,3,32
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,4,32
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,5,32
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,6,32
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,7,32
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,8,32
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9,32
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,0,33
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,1,33
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,2,33
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,3,33
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,4,33
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,5,33
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,6,33
